competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2017,31,Maracanã,mandante,FLUMINENSE - RJ,pro,Henrique Dourado,5' (2ºT),50.0
Brasileirao,2017,31,Maracanã,visitante,VITORIA - BA,pro,Kieza,20' (2ºT),65.0
Brasileirao,2017,34,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Angel Romero,24' (2ºT),69.0
Brasileirao,2017,34,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Jo,29' (2ºT),74.0
Brasileirao,2017,35,Mineirão,visitante,CHAPECOENSE - SC,pro,Wellington Paulista,27' (1ºT),27.0
Brasileirao,2017,35,Mineirão,visitante,CHAPECOENSE - SC,pro,Douglas Groli,2' (2ºT),47.0
Brasileirao,2017,36,Couto Pereira,mandante,CORITIBA - PR,pro,Marcio,16' (2ºT),61.0
Brasileirao,2017,37,Arena do Grêmio,mandante,GREMIO - RS,pro,Lucas Barrios,38' (1ºT),38.0
Brasileirao,2017,37,Arena do Grêmio,mandante,GREMIO - RS,pro,Luan,45+2' (2ºT),90.5
Brasileirao,2017,38,Arena Fonte Nova,mandante,BAHIA - BA,pro,Rene Junior,15' (1ºT),15.0
Brasileirao,2017,38,Arena Fonte Nova,mandante,BAHIA - BA,pro,Vinicius,41' (1ºT),41.0
Brasileirao,2017,38,Arena Fonte Nova,mandante,BAHIA - BA,pro,Gustavo Ferrareis,27' (2ºT),72.0
Brasileirao,2017,39,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Lucca,5' (2ºT),50.0
Brasileirao,2017,40,Ressacada,mandante,AVAI - SC,pro,Romulo,33' (1ºT),33.0
Brasileirao,2017,41,Maracanã,visitante,ATLETICO - PR,pro,Pablo,7' (1ºT),7.0
Brasileirao,2017,41,Maracanã,mandante,FLUMINENSE - RJ,pro,Reginaldo,32' (1ºT),32.0
Brasileirao,2017,42,São Januário,visitante,CORINTHIANS - SP,pro,Marquinhos Gabriel,3' (1ºT),3.0
Brasileirao,2017,42,São Januário,visitante,CORINTHIANS - SP,pro,Jo,38' (1ºT),38.0
Brasileirao,2017,42,São Januário,mandante,VASCO DA GAMA - RJ,pro,Luis Fabiano,1' (2ºT),46.0
Brasileirao,2017,42,São Januário,mandante,VASCO DA GAMA - RJ,pro,Luis Fabiano,2' (2ºT),47.0
Brasileirao,2017,42,São Januário,visitante,CORINTHIANS - SP,pro,Maycon,13' (2ºT),58.0
Brasileirao,2017,42,São Januário,visitante,CORINTHIANS - SP,pro,Clayton,39' (2ºT),84.0
Brasileirao,2017,42,São Januário,visitante,CORINTHIANS - SP,pro,Clayton,45+2' (2ºT),90.5
Brasileirao,2017,43,Pacaembu,mandante,SANTOS - SP,pro,Victor Ferraz,45+5' (2ºT),90.5
Brasileirao,2017,44,Morumbi,mandante,SAO PAULO - SP,pro,Antonio,19' (2ºT),64.0
Brasileirao,2017,44,Morumbi,mandante,SAO PAULO - SP,pro,Lucas Pratto,45+2' (2ºT),90.5
Brasileirao,2017,45,Independência,mandante,ATLETICO - MG,pro,Fred,16' (1ºT),16.0
Brasileirao,2017,46,Couto Pereira,mandante,CORITIBA - PR,pro,M. Galdezani,6' (2ºT),51.0
